city,Target_type
Genc,Transportation
Tunceli,Police
Semdinli district,Military
Pulumur,Military
Genc district,Military
Cukurca district,Military
Istanbul,Private Citizens & Property
Kulp district,Police
Diyarbakir,Transportation
Cukurca,Military
Ankara,Private Citizens & Property
Izmir,Private Citizens & Property
Izmir,Private Citizens & Property
Daglica,Private Citizens & Property
Izmir,Government (General)
Ogulveren,Private Citizens & Property
Izmir,Government (General)
Istanbul,Journalists & Media
Malatya,Business
Istanbul,Private Citizens & Property
Istanbul,Journalists & Media
Istanbul,Business
Sason,Transportation
Semdinli,Private Citizens & Property
Kabala,Police
Dogubeyazit district,Utilities
Yuksekova district,Private Citizens & Property
Egirmec,Transportation
Semdinli,Government (General)
Semdinli,Private Citizens & Property
Istanbul,Police
Istanbul,Private Citizens & Property
Semdinli,Private Citizens & Property
Refahiye,Business
Mersin,Police
Semdinli,Transportation
Tunceli,Police
Hakkari,Government (General)
Hakkari,Private Citizens & Property
Midyat,Utilities
Istanbul,Government (General)
Istanbul,Business
Besikduzu,Business
Ankara,Business
Istanbul,Police
Istanbul,Military
Ankara,Government (General)
Cukurca,Business
Silopi,Transportation
Istanbul,Business
Istanbul,Transportation
Hatay,Government (General)
Istanbul,Transportation
Duzici district,Transportation
Midyat,Utilities
Dogubeyazit district,Utilities
Erzincan,Transportation
Hakkari,Police
Hakkari,Government (General)
Hakkari,Government (General)
Hakkari,Police
Magara,Utilities
Gecitli,Transportation
Istanbul,Private Citizens & Property
Istanbul,Private Citizens & Property
Istanbul,Private Citizens & Property
Istanbul,Business
Mersin,Business
Toroslar,Government (General)
Istanbul,Private Citizens & Property
Istanbul,Educational Institution
Buca district,Government (General)
Adana,Private Citizens & Property
Saricam District,Government (General)
Diyarbakir,Government (General)
Istanbul,Transportation
Sanliurfa,Government (General)
Istanbul,Transportation
Nusaybin district,Government (General)
Diyarbakir,Government (General)
Silvan,Business
Istanbul,Private Citizens & Property
Mersin,Government (General)
Cizre,Educational Institution
Cizre district,Religious Figures/Institutions
Diyarbakir,Educational Institution
Sirnak,Private Citizens & Property
Genc,Military
Hizan district,Government (General)
Karliova,Business
Kemer,Private Citizens & Property
Tunceli,Police
Kasimli,Business
Ankara,Government (General)
Kirikkale,Transportation
Batman,Private Citizens & Property
Yuksekova district,Private Citizens & Property
Celtiksuyu,Business
Istanbul,Government (General)
Sirnak,Business
Bingol,Government (General)
Izmit,Transportation
Ercis,Transportation
Nusaybin,Military
Kozluk,Business
Bitlis,Military
Cukurca,Military
Istanbul,Business
Istanbul,Private Citizens & Property
Semdinli,Business
Pinarbasi,Police
Istanbul,Police
Omurlu,Military
Omurlu,Military
Beytussebap district,Police
Beytussebap district,Police
Beytussebap district,Police
Beytussebap district,Police
Mezra,Military
Sultangazi district,Police
Cukurca district,Military
Dogubeyazit district,Business
Tatvan,Business
Nazimiye district,Military
Nazimiye district,Military
Yuksekova district,Police
Tunceli,Military
Iskenderun,Military
Semdinli,Police
Lice district,Military
Antakya,Business
Ankara,Government (Diplomatic)
Reyhanli,Private Citizens & Property
Ankara,Government (General)
Reyhanli,Government (General)
Reyhanli,Government (General)
Hani district,Military
Belenoluk,Business
Cizre,Police
Istanbul,Private Citizens & Property
Lice district,Military
Lice district,Military
Istanbul,Religious Figures/Institutions
Saray,Military
Kocakoy,Military
Diyadin,Military
Cizre district,Educational Institution
Cizre district,Educational Institution
Cizre district,Educational Institution
Cizre district,Educational Institution
Yuksekova district,Educational Institution
Yuksekova district,Educational Institution
Yuksekova district,Educational Institution
Cizre district,Educational Institution
Cizre district,Educational Institution
Cizre district,Educational Institution
Daglica,Police
Ankara,Private Citizens & Property
Istanbul,Police
Istanbul,Police
Istanbul,Utilities
Istanbul,Police
Istanbul,Transportation
Istanbul,Journalists & Media
Istanbul,Government (General)
Aritis,Educational Institution
Suruc,Private Citizens & Property
Ceylanpinar,Police
Istanbul,Private Citizens & Property
Adana,Private Citizens & Property
Lice,Military
Nusaybin,Police
Tatvan,Police
Malazgirt,Military
Caldiran district,Military
Ercis district,Police
Cizre,Police
Semdinli district,Military
Cinar,Police
Dogubeyazit district,Military
Yuksekova district,Police
Akcay,Military
Cizre,Police
Diyarbakir,Police
Pozanti,Police
Hani district,Military
Sanliurfa,Journalists & Media
Sur district,Private Citizens & Property
Istanbul,Airports & Aircraft
Gaziantep,Journalists & Media
Ankara,Military
Ankara,Private Citizens & Property
Hani,Government (General)
Hani,Military
Istanbul,Journalists & Media
Istanbul,Police
Istanbul,Business
Istanbul,Airports & Aircraft
Ankara,Journalists & Media
Ankara,Military
Ankara,Police
Ankara,Police
Ankara,Business
Ankara,Military
Ankara,Private Citizens & Property
Ankara,Police
Ankara,Military
Marmaris,Government (General)
Ankara,Government (General)
Cizre,Police
Van,Private Citizens & Property
Semdinli district,Private Citizens & Property
Ankara,Government (Diplomatic)
Ozalp,Private Citizens & Property
Dicle,Private Citizens & Property
Derik district,Government (General)
Cukurca district,Military
Istanbul,Government (General)
Istanbul,Business
Istanbul,Business
Izmir,Business
Ankara,Government (Diplomatic)
Istanbul,Business
Istanbul,Business
Diyarbakir,Police
Diyarbakir,Police
Istanbul,Journalists & Media
Dogubeyazit district,Transportation
Semdinli district,Military
Istanbul,Business
